,cf_mean-means
mean,0.17560723423957825
std,0.004883298650383949
min,0.1673300564289093
25%,0.1696033477783203
50%,0.17859108746051788
75%,0.17933757603168488
max,0.18103262782096863
sum,10.009612083435059
