gid,config
0,wind
1,wind
2,wind
3,wind
4,wind
5,wind
6,wind
7,wind
8,wind
9,wind
10,wind
11,wind
12,wind
13,wind
14,wind
15,wind
16,wind
17,wind
18,wind
19,wind
20,wind
21,wind
22,wind
23,wind
24,wind
25,wind
26,wind
27,wind
28,wind
29,wind
30,wind
31,wind
32,wind
33,wind
34,wind
35,wind
36,wind
37,wind
38,wind
39,wind
40,wind
41,wind
42,wind
43,wind
44,wind
45,wind
46,wind
47,wind
48,wind
49,wind
50,wind
51,wind
52,wind
53,wind
54,wind
55,wind
56,wind
57,wind
58,wind
59,wind
60,wind
61,wind
62,wind
63,wind
64,wind
65,wind
66,wind
67,wind
68,wind
69,wind
70,wind
71,wind
72,wind
73,wind
74,wind
75,wind
76,wind
77,wind
78,wind
79,wind
80,wind
81,wind
82,wind
83,wind
84,wind
85,wind
86,wind
87,wind
88,wind
89,wind
90,wind
91,wind
92,wind
93,wind
94,wind
95,wind
96,wind
97,wind
98,wind
99,wind
