latitude,longitude,country,state,county,timezone,elevation,offshore,gid,config
39.69595,-75.78479,United States,Delaware,New Castle,-5,55,0,2247681,default
39.713898,-75.77875,United States,Delaware,New Castle,-5,60,0,2247682,default
39.61956,-75.78552,United States,Delaware,New Castle,-5,22,0,2248661,default
39.637497,-75.77951,United States,Delaware,New Castle,-5,34,0,2248662,default
39.655445,-75.7735,United States,Delaware,New Castle,-5,45,0,2248663,default
39.673378,-75.76749,United States,Delaware,New Castle,-5,38,0,2248664,default
39.691326,-75.761475,United States,Delaware,New Castle,-5,37,0,2248665,default
39.709263,-75.75543,United States,Delaware,New Castle,-5,59,0,2248666,default
39.7272,-75.74942,United States,Delaware,New Castle,-5,70,0,2248667,default
39.745148,-75.74338,United States,Delaware,New Castle,-5,104,0,2248668,default
39.76309,-75.737335,United States,Delaware,New Castle,-5,94,0,2248669,default
39.56111,-75.78027,United States,Delaware,New Castle,-5,16,0,2249636,default
39.57905,-75.77426,United States,Delaware,New Castle,-5,17,0,2249637,default
39.596985,-75.76825,United States,Delaware,New Castle,-5,24,0,2249638,default
39.614925,-75.76224,United States,Delaware,New Castle,-5,33,0,2249639,default
39.632874,-75.756226,United States,Delaware,New Castle,-5,24,0,2249640,default
39.650806,-75.75018,United States,Delaware,New Castle,-5,71,0,2249641,default
39.668743,-75.74417,United States,Delaware,New Castle,-5,22,0,2249642,default
39.68668,-75.73816,United States,Delaware,New Castle,-5,25,0,2249643,default
39.704624,-75.73212,United States,Delaware,New Castle,-5,27,0,2249644,default
39.722565,-75.726074,United States,Delaware,New Castle,-5,79,0,2249645,default
39.740513,-75.72003,United States,Delaware,New Castle,-5,79,0,2249646,default
39.75845,-75.71399,United States,Delaware,New Castle,-5,60,0,2249647,default
39.776386,-75.70795,United States,Delaware,New Castle,-5,93,0,2249648,default
39.79433,-75.701904,United States,Delaware,New Castle,-5,76,0,2249649,default
39.502663,-75.775024,United States,Delaware,New Castle,-5,19,0,2250598,default
39.520607,-75.76901,United States,Delaware,New Castle,-5,18,0,2250599,default
39.538536,-75.763,United States,Delaware,New Castle,-5,17,0,2250600,default
39.556477,-75.75699,United States,Delaware,New Castle,-5,7,0,2250601,default
39.574413,-75.75098,United States,Delaware,New Castle,-5,31,0,2250602,default
39.59235,-75.744965,United States,Delaware,New Castle,-5,24,0,2250603,default
39.61029,-75.73895,United States,Delaware,New Castle,-5,26,0,2250604,default
39.628223,-75.73291,United States,Delaware,New Castle,-5,21,0,2250605,default
39.64617,-75.7269,United States,Delaware,New Castle,-5,26,0,2250606,default
39.66411,-75.72089,United States,Delaware,New Castle,-5,30,0,2250607,default
39.68205,-75.71484,United States,Delaware,New Castle,-5,28,0,2250608,default
39.699978,-75.7088,United States,Delaware,New Castle,-5,24,0,2250609,default
39.717926,-75.70276,United States,Delaware,New Castle,-5,35,0,2250610,default
39.73586,-75.69672,United States,Delaware,New Castle,-5,52,0,2250611,default
39.753803,-75.690674,United States,Delaware,New Castle,-5,75,0,2250612,default
39.771732,-75.68463,United States,Delaware,New Castle,-5,88,0,2250613,default
39.78968,-75.67856,United States,Delaware,New Castle,-5,97,0,2250614,default
39.80762,-75.672516,United States,Delaware,New Castle,-5,111,0,2250615,default
39.44423,-75.769775,United States,Delaware,New Castle,-5,21,0,2251552,default
39.46216,-75.76376,United States,Delaware,New Castle,-5,14,0,2251553,default
39.480103,-75.75775,United States,Delaware,New Castle,-5,16,0,2251554,default
39.498028,-75.75177,United States,Delaware,New Castle,-5,14,0,2251555,default
39.51597,-75.74576,United States,Delaware,New Castle,-5,13,0,2251556,default
39.533905,-75.739746,United States,Delaware,New Castle,-5,18,0,2251557,default
39.551838,-75.733734,United States,Delaware,New Castle,-5,23,0,2251558,default
39.56978,-75.72772,United States,Delaware,New Castle,-5,25,0,2251559,default
39.587708,-75.72168,United States,Delaware,New Castle,-5,23,0,2251560,default
39.60566,-75.71567,United States,Delaware,New Castle,-5,23,0,2251561,default
39.62359,-75.709656,United States,Delaware,New Castle,-5,23,0,2251562,default
39.641525,-75.70361,United States,Delaware,New Castle,-5,25,0,2251563,default
39.659454,-75.69757,United States,Delaware,New Castle,-5,20,0,2251564,default
39.677395,-75.69153,United States,Delaware,New Castle,-5,27,0,2251565,default
39.69533,-75.685486,United States,Delaware,New Castle,-5,27,0,2251566,default
39.713276,-75.67944,United States,Delaware,New Castle,-5,16,0,2251567,default
39.73121,-75.6734,United States,Delaware,New Castle,-5,31,0,2251568,default
39.74914,-75.66733,United States,Delaware,New Castle,-5,38,0,2251569,default
39.76709,-75.661285,United States,Delaware,New Castle,-5,85,0,2251570,default
39.785023,-75.65521,United States,Delaware,New Castle,-5,94,0,2251571,default
39.80296,-75.64917,United States,Delaware,New Castle,-5,104,0,2251572,default
39.820904,-75.6431,United States,Delaware,New Castle,-5,85,0,2251573,default
39.3858,-75.76453,United States,Delaware,New Castle,-5,17,0,2252501,default
39.403732,-75.758545,United States,Delaware,New Castle,-5,16,0,2252502,default
39.42166,-75.75256,United States,Delaware,New Castle,-5,15,0,2252503,default
39.439598,-75.74655,United States,Delaware,New Castle,-5,20,0,2252504,default
39.457523,-75.74054,United States,Delaware,New Castle,-5,20,0,2252505,default
39.475468,-75.73453,United States,Delaware,New Castle,-5,19,0,2252506,default
39.493397,-75.728516,United States,Delaware,New Castle,-5,22,0,2252507,default
39.511337,-75.7225,United States,Delaware,New Castle,-5,27,0,2252508,default
39.52926,-75.71649,United States,Delaware,New Castle,-5,20,0,2252509,default
39.5472,-75.71048,United States,Delaware,New Castle,-5,20,0,2252510,default
39.56513,-75.70444,United States,Delaware,New Castle,-5,26,0,2252511,default
39.583073,-75.698425,United States,Delaware,New Castle,-5,24,0,2252512,default
39.601,-75.69238,United States,Delaware,New Castle,-5,23,0,2252513,default
39.61894,-75.68634,United States,Delaware,New Castle,-5,20,0,2252514,default
39.63687,-75.6803,United States,Delaware,New Castle,-5,22,0,2252515,default
39.654808,-75.674255,United States,Delaware,New Castle,-5,7,0,2252516,default
39.672745,-75.66821,United States,Delaware,New Castle,-5,16,0,2252517,default
39.69068,-75.66217,United States,Delaware,New Castle,-5,19,0,2252518,default
39.708614,-75.65613,United States,Delaware,New Castle,-5,22,0,2252519,default
39.72656,-75.650085,United States,Delaware,New Castle,-5,4,0,2252520,default
39.744495,-75.64401,United States,Delaware,New Castle,-5,24,0,2252521,default
39.76243,-75.63794,United States,Delaware,New Castle,-5,56,0,2252522,default
39.78037,-75.63187,United States,Delaware,New Castle,-5,35,0,2252523,default
39.7983,-75.62579,United States,Delaware,New Castle,-5,88,0,2252524,default
39.816235,-75.61975,United States,Delaware,New Castle,-5,99,0,2252525,default
39.83417,-75.61365,United States,Delaware,New Castle,-5,127,0,2252526,default
39.327377,-75.75931,United States,Delaware,New Castle,-5,31,0,2253446,default
39.345306,-75.75333,United States,Delaware,New Castle,-5,33,0,2253447,default
39.363235,-75.747314,United States,Delaware,New Castle,-5,22,0,2253448,default
39.38117,-75.74133,United States,Delaware,New Castle,-5,28,0,2253449,default
39.399097,-75.73535,United States,Delaware,New Castle,-5,27,0,2253450,default
39.417027,-75.72934,United States,Delaware,New Castle,-5,20,0,2253451,default
39.434963,-75.72333,United States,Delaware,New Castle,-5,16,0,2253452,default
39.452892,-75.717316,United States,Delaware,New Castle,-5,16,0,2253453,default
39.470825,-75.7113,United States,Delaware,New Castle,-5,24,0,2253454,default
39.488754,-75.70529,United States,Delaware,New Castle,-5,19,0,2253455,default
39.506687,-75.69928,United States,Delaware,New Castle,-5,17,0,2253456,default
39.524616,-75.69324,United States,Delaware,New Castle,-5,19,0,2253457,default
39.542545,-75.687195,United States,Delaware,New Castle,-5,19,0,2253458,default
39.560482,-75.68118,United States,Delaware,New Castle,-5,8,0,2253459,default
39.578426,-75.67514,United States,Delaware,New Castle,-5,21,0,2253460,default
39.596355,-75.66913,United States,Delaware,New Castle,-5,29,0,2253461,default
39.614285,-75.663086,United States,Delaware,New Castle,-5,12,0,2253462,default
39.63222,-75.65704,United States,Delaware,New Castle,-5,15,0,2253463,default
39.650146,-75.65097,United States,Delaware,New Castle,-5,26,0,2253464,default
39.66809,-75.64493,United States,Delaware,New Castle,-5,26,0,2253465,default
39.686024,-75.638855,United States,Delaware,New Castle,-5,12,0,2253466,default
39.703957,-75.63281,United States,Delaware,New Castle,-5,27,0,2253467,default
39.721893,-75.62674,United States,Delaware,New Castle,-5,3,0,2253468,default
39.739826,-75.62067,United States,Delaware,New Castle,-5,21,0,2253469,default
39.75776,-75.614624,United States,Delaware,New Castle,-5,34,0,2253470,default
39.775684,-75.60852,United States,Delaware,New Castle,-5,56,0,2253471,default
39.793633,-75.60248,United States,Delaware,New Castle,-5,84,0,2253472,default
39.811565,-75.596375,United States,Delaware,New Castle,-5,111,0,2253473,default
39.829502,-75.5903,United States,Delaware,New Castle,-5,101,0,2253474,default
39.268955,-75.75409,United States,Delaware,Kent,-5,19,0,2254382,default
39.28689,-75.74811,United States,Delaware,Kent,-5,19,0,2254383,default
39.30481,-75.74213,United States,Delaware,New Castle,-5,29,0,2254384,default
39.322742,-75.736145,United States,Delaware,New Castle,-5,18,0,2254385,default
39.34067,-75.73013,United States,Delaware,New Castle,-5,23,0,2254386,default
39.3586,-75.72415,United States,Delaware,New Castle,-5,32,0,2254387,default
39.376526,-75.71814,United States,Delaware,New Castle,-5,25,0,2254388,default
39.394463,-75.71213,United States,Delaware,New Castle,-5,30,0,2254389,default
39.412388,-75.706116,United States,Delaware,New Castle,-5,20,0,2254390,default
39.43032,-75.7001,United States,Delaware,New Castle,-5,18,0,2254391,default
39.448246,-75.69409,United States,Delaware,New Castle,-5,17,0,2254392,default
39.46617,-75.68808,United States,Delaware,New Castle,-5,17,0,2254393,default
39.484108,-75.68207,United States,Delaware,New Castle,-5,18,0,2254394,default
39.502033,-75.676025,United States,Delaware,New Castle,-5,17,0,2254395,default
39.51997,-75.66998,United States,Delaware,New Castle,-5,15,0,2254396,default
39.5379,-75.66397,United States,Delaware,New Castle,-5,26,0,2254397,default
39.55583,-75.65793,United States,Delaware,New Castle,-5,15,0,2254398,default
39.573757,-75.651886,United States,Delaware,New Castle,-5,12,0,2254399,default
39.591694,-75.64584,United States,Delaware,New Castle,-5,10,0,2254400,default
39.609627,-75.6398,United States,Delaware,New Castle,-5,18,0,2254401,default
39.62756,-75.63373,United States,Delaware,New Castle,-5,14,0,2254402,default
39.645493,-75.627686,United States,Delaware,New Castle,-5,20,0,2254403,default
39.663425,-75.62164,United States,Delaware,New Castle,-5,13,0,2254404,default
39.68136,-75.61557,United States,Delaware,New Castle,-5,22,0,2254405,default
39.699295,-75.6095,United States,Delaware,New Castle,-5,24,0,2254406,default
39.717224,-75.603424,United States,Delaware,New Castle,-5,5,0,2254407,default
39.735153,-75.59735,United States,Delaware,New Castle,-5,16,0,2254408,default
39.753086,-75.59128,United States,Delaware,New Castle,-5,23,0,2254409,default
39.771023,-75.585205,United States,Delaware,New Castle,-5,51,0,2254410,default
39.788956,-75.5791,United States,Delaware,New Castle,-5,74,0,2254411,default
39.806892,-75.57303,United States,Delaware,New Castle,-5,48,0,2254412,default
39.82482,-75.566956,United States,Delaware,New Castle,-5,70,0,2254413,default
39.21054,-75.7489,United States,Delaware,Kent,-5,18,0,2255317,default
39.228466,-75.74292,United States,Delaware,Kent,-5,15,0,2255318,default
39.2464,-75.73694,United States,Delaware,Kent,-5,22,0,2255319,default
39.26432,-75.73096,United States,Delaware,Kent,-5,21,0,2255320,default
39.282257,-75.724976,United States,Delaware,Kent,-5,19,0,2255321,default
39.300167,-75.71896,United States,Delaware,New Castle,-5,22,0,2255322,default
39.318104,-75.71295,United States,Delaware,New Castle,-5,26,0,2255323,default
39.33602,-75.70697,United States,Delaware,New Castle,-5,27,0,2255324,default
39.353962,-75.70096,United States,Delaware,New Castle,-5,25,0,2255325,default
39.371883,-75.69495,United States,Delaware,New Castle,-5,20,0,2255326,default
39.389816,-75.688934,United States,Delaware,New Castle,-5,21,0,2255327,default
39.40774,-75.68292,United States,Delaware,New Castle,-5,20,0,2255328,default
39.42567,-75.67691,United States,Delaware,New Castle,-5,13,0,2255329,default
39.4436,-75.6709,United States,Delaware,New Castle,-5,12,0,2255330,default
39.46152,-75.664856,United States,Delaware,New Castle,-5,10,0,2255331,default
39.47946,-75.65881,United States,Delaware,New Castle,-5,21,0,2255332,default
39.497387,-75.65277,United States,Delaware,New Castle,-5,17,0,2255333,default
39.515316,-75.64676,United States,Delaware,New Castle,-5,16,0,2255334,default
39.533245,-75.64072,United States,Delaware,New Castle,-5,12,0,2255335,default
39.55117,-75.634674,United States,Delaware,New Castle,-5,14,0,2255336,default
39.569096,-75.62863,United States,Delaware,New Castle,-5,16,0,2255337,default
39.587032,-75.62256,United States,Delaware,New Castle,-5,24,0,2255338,default
39.604965,-75.616516,United States,Delaware,New Castle,-5,13,0,2255339,default
39.622894,-75.61047,United States,Delaware,New Castle,-5,-2,0,2255340,default
39.64083,-75.6044,United States,Delaware,New Castle,-5,0,0,2255341,default
39.65876,-75.59833,United States,Delaware,New Castle,-5,9,0,2255342,default
39.676685,-75.592285,United States,Delaware,New Castle,-5,3,0,2255343,default
39.694622,-75.58618,United States,Delaware,New Castle,-5,21,0,2255344,default
39.71256,-75.58011,United States,Delaware,New Castle,-5,17,0,2255345,default
39.730484,-75.574036,United States,Delaware,New Castle,-5,8,0,2255346,default
39.748417,-75.56796,United States,Delaware,New Castle,-5,26,0,2255347,default
39.76635,-75.56189,United States,Delaware,New Castle,-5,65,0,2255348,default
39.78428,-75.555786,United States,Delaware,New Castle,-5,72,0,2255349,default
39.802216,-75.54968,United States,Delaware,New Castle,-5,109,0,2255350,default
39.820145,-75.54358,United States,Delaware,New Castle,-5,116,0,2255351,default
39.838078,-75.537476,United States,Delaware,New Castle,-5,121,0,2255352,default
39.15214,-75.74371,United States,Delaware,Kent,-5,24,0,2256253,default
39.17006,-75.73773,United States,Delaware,Kent,-5,28,0,2256254,default
39.187984,-75.73175,United States,Delaware,Kent,-5,30,0,2256255,default
39.205902,-75.72577,United States,Delaware,Kent,-5,21,0,2256256,default
39.22383,-75.71979,United States,Delaware,Kent,-5,17,0,2256257,default
