,lcoe_fcr-stdev
mean,0.5558943152427673
std,0.05907805263996124
min,0.4158153533935547
25%,0.5200765132904053
50%,0.5549273490905762
75%,0.5943067073822021
max,0.7239570617675781
sum,53.36585235595703
