,cf_mean-means
mean,0.43416619300842285
std,0.019039681181311607
min,0.3912216126918793
25%,0.4200960770249367
50%,0.43550124764442444
75%,0.45003490149974823
max,0.4696059823036194
sum,41.679954528808594
