,cf_mean-stdev
mean,0.01097407191991806
std,0.0012705465778708458
min,0.007279679179191589
25%,0.010003577917814255
50%,0.01105467975139618
75%,0.011983338743448257
max,0.013474136590957642
sum,1.0535109043121338
