,lcoe_fcr-stdev
mean,0.4798538088798523
std,0.30240437388420105
min,0.0205230712890625
25%,0.24266815185546875
50%,0.4997577667236328
75%,0.7135219573974609
max,0.8647804260253906
sum,4.7985382080078125
