,cf_mean-stdev
mean,0.0006718329968862236
std,0.00044132815673947334
min,2.537667751312256e-05
25%,0.00032898783683776855
50%,0.0006921589374542236
75%,0.0010052546858787537
max,0.00125015527009964
sum,0.006718330085277557
