latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,gid,reV_tech,cf_mean-2012,cf_mean-2013,cf_mean-means,cf_mean-stdev,ghi_mean-2012,ghi_mean-2013,ghi_mean-means,ghi_mean-stdev,lcoe_fcr-2012,lcoe_fcr-2013,lcoe_fcr-means,lcoe_fcr-stdev
41.29,-71.86,0.0,-5,None,None,None,None,151,210,0,pvwattsv7,0.16961764,0.16966839,0.16964301,2.5376678e-05,4.012,4.03,4.021,0.009,137.21606,137.17502,137.19554,0.020523071
41.29,-71.82,0.0,-5,None,None,None,None,2,210,1,pvwattsv7,0.16974533,0.1693659,0.1695556,0.00018971413,4.012,4.02,4.016,0.004,137.11284,137.42001,137.26642,0.15358734
41.25,-71.82,0.0,-5,None,None,None,None,-9999,210,2,pvwattsv7,0.17552415,0.17738472,0.17645442,0.00093028694,4.121,4.167,4.144,0.023,132.59865,131.20782,131.90323,0.6954117
41.33,-71.82,15.263158,-5,United States,Rhode Island,Washington,None,2089,50,3,pvwattsv7,0.17601633,0.17715111,0.17658372,0.0005673915,4.127,4.151,4.139,0.012,132.22787,131.38086,131.80437,0.4235077
41.37,-71.82,25.36,-5,United States,Rhode Island,Washington,None,13716,70,4,pvwattsv7,0.17655106,0.17725731,0.17690419,0.00035312772,4.138,4.155,4.146,0.009,131.8274,131.30214,131.56476,0.26262665
41.41,-71.82,35.76,-5,United States,Connecticut,Washington,None,2375,50,5,pvwattsv7,0.17757976,0.17822164,0.1779007,0.0003209412,4.141,4.164,4.152,0.012,131.06372,130.59169,130.8277,0.23601532
41.13,-71.78,0.0,-5,None,None,None,None,-9999,210,6,pvwattsv7,0.18218222,0.18468253,0.18343237,0.0012501553,4.163,4.216,4.19,0.026,127.75266,126.0231,126.88788,0.8647804
41.17,-71.78,0.0,-5,None,None,None,None,-9999,210,7,pvwattsv7,0.18086918,0.18250303,0.1816861,0.00081692636,4.137,4.179,4.158,0.021,128.68011,127.5281,128.10411,0.57600784
41.09,-71.78,0.0,-5,None,None,None,None,-9999,210,8,pvwattsv7,0.18151991,0.1835804,0.18255016,0.0010302439,4.152,4.196,4.174,0.022,128.2188,126.77968,127.49924,0.7195587
41.01,-71.78,0.0,-5,None,None,None,None,-9999,210,9,pvwattsv7,0.18297692,0.18544525,0.18421108,0.0012341663,4.182,4.23,4.206,0.024,127.197815,125.504776,126.351295,0.8465195
