,cf_mean-means
mean,0.17789213359355927
std,0.0052600740455091
min,0.16955560445785522
25%,0.17648674920201302
50%,0.17740244418382645
75%,0.18233414739370346
max,0.18421107530593872
sum,1.778921365737915
