sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,mean_capital_cost,mean_fixed_operating_cost,mean_system_capacity,mean_fixed_charge_rate,mean_variable_operating_cost,reeds_region,slope,sc_point_gid,sc_row_ind,sc_col_ind,res_class
10,"[14, 29]","[4, 14]","[396.0, 242.5]",1277,0.16810036,138.4545957111463,4.107394,162.913275,5.17185,41.837,-71.807,United States,Rhode Island,Providence,209.4,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,34.0,1.3278216,49,3,1,2
11,"[14, 53, 77, 29, 48, 83]","[4, 30, 44, 14, 27, 48]","[163.0, 405.0, 181.0, 115.0, 284.0, 119.0]",2534,0.16927887,137.49067797731252,4.129952,323.27504999999996,10.262699999999999,41.838,-71.738,United States,Rhode Island,Providence,180.12834,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,34.0,1.4657918,50,3,2,2
12,"[77, 94, 83]","[44, 52, 48]","[187.0, 734.0, 179.0]",2200,0.16982839,137.0458009893328,4.138141,280.665,8.91,41.838,-71.668,United States,Rhode Island,Providence,157.55,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,15.0,1.4170958,51,3,3,2
13,[94],[52],[20.0],40,0.1698629,137.01795041833185,4.138,5.102999999999999,0.16199999999999998,41.838,-71.599,United States,Rhode Island,Providence,176.0,-5,39767200.0,260000.0,20000.0,0.096,0.0,15.0,1.3409641,52,3,4,2
14,"[29, 32]","[14, 17]","[302.0, 378.5]",1361,0.16891953,137.78315007945997,4.127112,173.629575,5.5120499999999995,41.785,-71.807,United States,Rhode Island,Providence,195.26,-5,39767200.0,260000.0,20000.0,0.096,0.0,34.0,1.3271992,65,4,1,2
15,"[29, 48, 83, 32, 49, 82]","[14, 27, 48, 17, 28, 47]","[145.5, 403.5, 142.5, 128.0, 417.0, 198.0]",2869,0.16939819,137.39382140985927,4.134444,366.01267499999994,11.619449999999999,41.786,-71.738,United States,Rhode Island,Providence,176.93834,-5,39767200.0,259999.98,20000.0,0.096,0.0,34.0,1.3522263,66,4,2,2
16,"[83, 82]","[48, 47]","[150.0, 307.0]",914,0.16959941,137.23081093307226,4.135954,116.60355,3.7016999999999998,41.786,-71.668,United States,Rhode Island,Providence,157.57501,-5,39767200.0,260000.0,20000.0,0.096,0.0,34.0,1.4386847,67,4,3,2
17,"[32, 33, 17]","[17, 18, 6]","[102.0, 425.0, 31.0]",1116,0.17662401,131.77293938365622,4.124192,142.3737,4.5198,41.734,-71.807,United States,Rhode Island,Providence,157.58667,-5,39767196.0,260000.0,20000.0,0.09600001,0.0,34.0,1.4797131,81,5,1,2
18,"[32, 49, 82, 33, 55, 67, 17, 59, 87]","[17, 28, 47, 18, 32, 38, 6, 33, 49]","[32.5, 108.5, 73.0, 148.0, 602.5, 314.0, 5.0, 30.0, 19.5]",2666,0.1772641,131.2971328929542,4.130757,340.11495,10.7973,41.734,-71.737,United States,Rhode Island,Providence,164.9225,-5,39767200.0,260000.0,20000.0,0.096000016,0.0,34.0,1.3973565,82,5,2,2
19,"[82, 67, 87]","[47, 38, 49]","[60.5, 280.0, 21.0]",723,0.17767288,130.99504594939754,4.138596,92.236725,2.92815,41.734,-71.668,United States,Rhode Island,Providence,175.05415,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,34.0,1.5244458,83,5,3,2
20,"[17, 26]","[6, 11]","[535.0, 198.5]",1467,0.17876025,130.19821915844105,4.126376,187.152525,5.94135,41.682,-71.806,United States,Rhode Island,Kent,125.78,-5,39767200.0,260000.0,20000.0,0.096,0.0,13.0,1.454721,97,6,1,2
21,"[17, 59, 87, 26, 36, 90]","[6, 33, 49, 11, 19, 50]","[166.5, 500.0, 260.5, 51.5, 199.5, 84.5]",2525,0.17885965,130.1258761081328,4.127995,322.126875,10.22625,41.682,-71.737,United States,Rhode Island,Kent,145.59167,-5,39767204.0,259999.98,20000.0,0.09600001,0.0,13.0,1.3924294,98,6,2,2
22,"[87, 90]","[49, 50]","[355.0, 145.0]",1000,0.17903312,129.99977561536485,4.1333904,127.57499999999999,4.05,41.682,-71.668,United States,Rhode Island,Kent,164.875,-5,39767204.0,260000.0,20000.0,0.09599999,0.0,13.0,1.3819168,99,6,3,2
23,"[26, 25]","[11, 10]","[377.0, 309.5]",1373,0.17860936,130.30822001288814,4.1233525,175.160475,5.56065,41.63,-71.806,United States,Rhode Island,Kent,126.899994,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,40.0,1.3502647,113,7,1,2
24,"[26, 36, 90, 25, 44, 68]","[11, 19, 50, 10, 24, 39]","[118.5, 319.5, 86.5, 65.0, 226.5, 88.0]",1808,0.17854236,130.3571059234673,4.122152,230.6556,7.3224,41.63,-71.737,United States,Rhode Island,Kent,129.19333,-5,39767204.0,260000.0,20000.0,0.09599999,0.0,40.0,1.5052629,114,7,2,2
25,"[90, 98, 68]","[50, 55, 39]","[258.0, 460.0, 179.5]",1795,0.1786845,130.2534103807133,4.127962,228.99712499999998,7.269749999999999,41.63,-71.668,United States,Rhode Island,Kent,139.26666,-5,39767200.0,260000.0,20000.0,0.096,0.0,40.0,1.4910308,115,7,3,2
26,[98],[55],[8.0],16,0.17876789,130.1926448228152,4.132,2.0412,0.0648,41.63,-71.599,United States,Rhode Island,Kent,140.2,-5,39767200.0,260000.0,20000.0,0.096,0.0,40.0,1.7811322,116,7,4,2
27,"[25, 20]","[10, 9]","[152.0, 441.5]",1187,0.17877042,130.19080459671844,4.1316943,151.431525,4.80735,41.578,-71.806,United States,Rhode Island,Kent,127.31999,-5,39767196.0,260000.0,20000.0,0.09600001,0.0,1.0,1.3167751,129,8,1,2
28,"[25, 44, 68, 20, 45, 73]","[10, 24, 39, 9, 25, 42]","[33.0, 169.0, 62.0, 128.0, 414.5, 174.5]",1962,0.17862467,130.29702809353265,4.130331,250.30214999999998,7.9460999999999995,41.578,-71.737,United States,Rhode Island,Kent,105.18833,-5,39767200.0,260000.0,20000.0,0.09599999,0.0,1.0,1.480634,130,8,2,2
29,"[68, 98, 73]","[39, 55, 42]","[98.0, 325.5, 242.5]",1332,0.17868422,130.2536230302287,4.130451,169.92989999999998,5.3946,41.578,-71.668,United States,Rhode Island,Kent,112.28333,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,1.0,1.5121125,131,8,3,2
30,[98],[55],[2.5],5,0.17876789,130.1926448228152,4.132,0.6378749999999999,0.020249999999999997,41.578,-71.599,United States,Rhode Island,Kent,140.2,-5,39767200.0,260000.0,20000.0,0.096,0.0,40.0,1.6645787,132,8,4,2
31,"[20, 27, 31]","[9, 12, 16]","[32.5, 562.0, 112.0]",1413,0.17898083,130.0377830891647,4.1370115,180.263475,5.72265,41.526,-71.806,United States,Rhode Island,Washington,115.700005,-5,39767204.0,260000.0,20000.0,0.09600001,0.0,28.0,1.3480566,145,9,1,2
32,"[20, 45, 73, 27, 39, 74, 31, 43, 81]","[9, 25, 42, 12, 21, 43, 16, 23, 46]","[7.0, 30.0, 16.5, 174.0, 396.5, 266.5, 26.0, 104.0, 71.5]",2184,0.17870073,130.24158455918214,4.1329255,278.6238,8.8452,41.526,-71.737,United States,Rhode Island,Washington,82.63778,-5,39767196.0,260000.0,20000.0,0.096000016,0.0,28.0,1.471659,146,9,2,2
33,"[73, 74, 92, 81]","[42, 43, 51, 46]","[16.0, 389.0, 266.0, 61.5]",1465,0.1789143,130.08612098990193,4.1383634,186.89737499999998,5.933249999999999,41.526,-71.668,United States,Rhode Island,Washington,54.8975,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,30.0,1.4643358,147,9,3,2
34,[92],[51],[0.5],1,0.17981388,129.4353094652082,4.157,0.127575,0.00405,41.527,-71.599,United States,Rhode Island,Washington,47.24,-5,39767200.0,260000.0,20000.0,0.096,0.0,30.0,2.4148674,148,9,4,2
35,"[31, 30]","[16, 15]","[397.5, 280.5]",1356,0.17954801,129.6269891631712,4.1525865,172.99169999999998,5.4918,41.474,-71.805,United States,Rhode Island,Washington,84.16,-5,39767200.0,260000.0,20000.0,0.096000016,0.0,28.0,1.4077922,161,10,1,2
36,"[31, 43, 81, 30, 46, 63]","[16, 23, 46, 15, 26, 35]","[94.5, 339.5, 203.0, 76.5, 285.5, 137.5]",2273,0.17945224,129.69615627074626,4.15041,289.977975,9.20565,41.474,-71.736,United States,Rhode Island,Washington,60.895,-5,39767196.0,259999.98,20000.0,0.096000016,0.0,28.0,1.4817677,162,10,2,2
37,"[81, 92, 63, 97]","[46, 51, 35, 54]","[171.5, 524.0, 189.5, 285.5]",2341,0.17963709,129.5627044803831,4.1528077,298.653075,9.48105,41.475,-71.668,United States,Rhode Island,Washington,38.3825,-5,39767200.0,259999.98,20000.0,0.09600001,0.0,30.0,1.3920461,163,10,3,2
38,"[92, 97]","[51, 54]","[18.0, 2.5]",41,0.17977399,129.4640316862949,4.1559024,5.230575,0.16605,41.475,-71.599,United States,Rhode Island,Washington,41.34,-5,39767200.0,260000.0,20000.0,0.096,0.0,30.0,1.2698461,164,10,4,2
39,"[30, 11]","[15, 2]","[206.5, 357.5]",1128,0.17924613,129.8452943130579,4.149464,143.9046,4.5684,41.422,-71.805,United States,Rhode Island,Washington,47.04,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,28.0,1.3588568,177,11,1,2
40,"[30, 46, 63, 11, 60, 64]","[15, 26, 35, 2, 34, 36]","[64.5, 254.5, 150.0, 119.0, 488.0, 148.0]",2448,0.17946935,129.6837972229556,4.1540375,312.30359999999996,9.914399999999999,41.423,-71.736,United States,Rhode Island,Washington,42.475002,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,28.0,1.401055,178,11,2,2
41,"[63, 97, 64, 99]","[35, 54, 36, 56]","[207.0, 291.5, 257.0, 687.5]",2886,0.1796522,129.55180569319293,4.154504,368.18145,11.6883,41.423,-71.667,United States,Rhode Island,Washington,35.5625,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,2.0,1.3169845,179,11,3,2
42,"[97, 99]","[54, 56]","[7.5, 17.0]",49,0.17976823,129.4681802606991,4.156327,6.251175,0.19845,41.423,-71.598,United States,Rhode Island,Washington,35.3,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,2.0,1.4553889,180,11,4,2
43,"[4, 3]","[1, 0]","[175.5, 13.5]",238,0.1783071,130.52909580835313,4.145499,48.223349999999996,1.5309,41.37,-71.874,United States,Rhode Island,Washington,20.311579,-5,39767196.0,260000.0,20000.0,0.09600001,0.0,,2.1855388,192,12,0,2
44,"[11, 4, 15, 3, 28]","[2, 1, 5, 0, 13]","[63.5, 1105.5, 584.0, 128.0, 110.0]",2746,0.17915154,129.91385282635386,4.1597567,508.00364999999994,16.1271,41.371,-71.805,United States,Rhode Island,Washington,21.21075,-5,39767204.0,260000.0,20000.0,0.096,0.0,6.0,1.847184,193,12,1,2
45,"[11, 60, 64, 15, 54, 65, 28]","[2, 34, 36, 5, 31, 37, 13]","[17.0, 99.5, 38.0, 192.5, 643.5, 317.0, 52.0]",2593,0.18056284,128.89842059394076,4.185906,346.876425,11.011949999999999,41.371,-71.736,United States,Rhode Island,Washington,29.6458,-5,39767196.0,260000.02,20000.0,0.09600001,0.0,6.0,1.4296682,194,12,2,2
46,"[64, 99, 65]","[36, 56, 37]","[38.5, 219.5, 502.5]",1521,0.17997816,129.31716223754887,4.1700654,194.041575,6.16005,41.371,-71.667,United States,Rhode Island,Washington,33.67,-5,39767200.0,260000.0,20000.0,0.096,0.0,2.0,1.0569886,195,12,3,2
47,[3],[0],[151.0],284,0.1780032,130.75197225149532,4.139,38.527649999999994,1.2230999999999999,41.319,-71.873,United States,Rhode Island,Washington,15.263158,-5,39767204.0,260000.0,20000.0,0.096000016,0.0,6.0,1.3352227,208,13,0,2
48,"[3, 28]","[0, 13]","[827.5, 560.0]",2334,0.17900775,130.0181971736667,4.155144,354.020625,11.23875,41.319,-71.805,United States,Rhode Island,Washington,15.866873,-5,39767200.0,260000.02,20000.0,0.096,0.0,6.0,0.9138005,209,13,1,2
49,[28],[13],[268.0],387,0.18049216,128.9488957727723,4.179001,68.3802,2.1708,41.319,-71.736,United States,Rhode Island,Washington,16.470589,-5,39767200.0,260000.0,20000.0,0.096,0.0,6.0,1.0012637,210,13,2,2
