sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,mean_capital_cost,mean_fixed_operating_cost,mean_system_capacity,mean_fixed_charge_rate,mean_variable_operating_cost,reeds_region,slope,sc_point_gid,sc_row_ind,sc_col_ind,res_class
0,[18],[7],[265.0],530,0.16822006,138.35606560785533,4.0999994,67.61475,2.1465,41.993,-71.808,United States,Rhode Island,Providence,194.64,-5,39767200.0,260000.0,20000.0,0.096,0.0,31.0,1.571124,1,0,1,2
1,"[18, 40, 69]","[7, 22, 40]","[139.0, 360.0, 175.0]",1274,0.16851938,138.11034082363233,4.110074,171.97109999999998,5.4594,41.993,-71.738,United States,Rhode Island,Providence,165.91333,-5,39767200.0,260000.0,20000.0,0.096000016,0.0,31.0,1.5406051,2,0,2,2
2,[69],[40],[351.0],459,0.16869211,137.96889811933158,4.11,89.55765,2.8430999999999997,41.993,-71.669,United States,Rhode Island,Providence,135.3,-5,39767200.0,260000.0,20000.0,0.096,0.0,31.0,2.1657057,3,0,3,2
3,"[18, 19]","[7, 8]","[147.0, 369.0]",1032,0.16844063,138.17488327789175,4.109296,131.6574,4.1796,41.941,-71.808,United States,Rhode Island,Providence,193.62,-5,39767200.0,260000.0,20000.0,0.09599999,0.0,31.0,1.4612964,17,1,1,2
4,"[18, 40, 69, 19, 38, 71]","[7, 22, 40, 8, 20, 41]","[60.5, 244.5, 192.5, 143.0, 436.0, 165.0]",2294,0.16906475,137.6648123885351,4.121429,316.76872499999996,10.056149999999999,41.941,-71.738,United States,Rhode Island,Providence,171.67542,-5,39767200.0,260000.02,20000.0,0.09600001,0.0,31.0,1.5425836,18,1,2,2
5,"[69, 71, 96]","[40, 41, 53]","[273.0, 465.0, 22.5]",1301,0.16928221,137.48795296768807,4.124714,194.041575,6.16005,41.941,-71.669,United States,Rhode Island,Providence,146.36082,-5,39767200.0,260000.0,20000.0,0.096,0.0,31.0,1.6332159,19,1,3,2
6,"[19, 13, 14]","[8, 3, 4]","[54.5, 312.0, 67.5]",868,0.16752945,138.92641591152486,4.0923834,110.73509999999999,3.5153999999999996,41.889,-71.807,United States,Rhode Island,Providence,195.74666,-5,39767200.0,260000.0,20000.0,0.096,0.0,35.0,1.5486628,33,2,1,2
7,"[19, 38, 71, 13, 52, 78, 14, 53, 77]","[8, 20, 41, 3, 29, 45, 4, 30, 44]","[23.0, 74.0, 21.0, 219.0, 565.0, 257.5, 43.5, 108.5, 50.5]",2724,0.16904388,137.6817932518966,4.1220813,347.5143,11.0322,41.889,-71.738,United States,Rhode Island,Providence,181.49806,-5,39767196.0,260000.0,20000.0,0.09600001,0.0,35.0,1.3976969,34,2,2,2
8,"[71, 96, 78, 77, 94]","[41, 53, 45, 44, 52]","[60.5, 667.5, 300.5, 45.0, 104.5]",2356,0.16963845,137.19923907432204,4.132698,300.5667,9.5418,41.889,-71.669,United States,Rhode Island,Providence,159.6465,-5,39767200.0,260000.0,20000.0,0.09600001,0.0,35.0,1.4165367,35,2,3,2
9,[96],[53],[22.0],44,0.16962357,137.2112665810488,4.1320004,5.6133,0.1782,41.89,-71.599,United States,Rhode Island,Providence,153.72,-5,39767196.0,260000.0,20000.0,0.09600001,0.0,35.0,1.5804137,36,2,4,2
