sc_point_gid,sc_point_row_id,sc_point_col_id,trans_line_gid,category,ac_cap,cap_left,trans_gids,dist_mi,trans_capacity
1,0,1,43865,TransLine,145.0,14.5,,7.21278117569168,145.0
1,0,1,68900,Substation,72.5,0.725,[43918],19.4560385150052,72.5
1,0,1,43418,TransLine,390.0,39.0,,25.3443324983371,390.0
1,0,1,43441,TransLine,390.0,39.0,,23.9352785812516,390.0
1,0,1,68933,Substation,195.0,1.95,[43418],25.4069163944756,195.0
1,0,1,43918,TransLine,145.0,14.5,,19.233026015455,145.0
1,0,1,68946,Substation,72.5,0.725,[43906],23.9711187581426,72.5
1,0,1,80843,PCALoadCen,999999.0,99999.9,,24.635448682066,999999.0
1,0,1,80844,LoadCen,124.0,12.4,,23.7573913650152,124.0
1,0,1,80845,LoadCen,135.0,13.5,,27.7517713810469,135.0
1,0,1,80846,LoadCen,272.0,27.2,,23.0686963800996,272.0
1,0,1,80847,LoadCen,76.0,7.6,,26.5691956076109,76.0
1,0,1,80848,LoadCen,17.0,1.7,,22.0333570421795,17.0
1,0,1,80849,LoadCen,113.0,11.3,,23.6874461655507,113.0
1,0,1,80850,LoadCen,30.0,3.0,,22.5497704145304,30.0
1,0,1,80852,LoadCen,50.0,5.0,,20.3109676850699,50.0
1,0,1,80853,LoadCen,67.0,6.7,,15.4905490169211,67.0
1,0,1,80854,LoadCen,46.0,4.6,,24.92344695083,46.0
1,0,1,43430,TransLine,145.0,14.5,,13.9327397189253,145.0
1,0,1,43415,TransLine,390.0,39.0,,25.087732732686,390.0
1,0,1,43431,TransLine,390.0,39.0,,15.4634107943042,390.0
1,0,1,43864,TransLine,145.0,14.5,,7.21278117569168,145.0
1,0,1,43412,TransLine,145.0,14.5,,26.6959518371685,145.0
1,0,1,43422,TransLine,390.0,39.0,,19.679436492422,390.0
1,0,1,43439,TransLine,145.0,14.5,,10.2785998793774,145.0
1,0,1,43883,TransLine,145.0,14.5,,19.916290209769,145.0
1,0,1,43852,TransLine,145.0,14.5,,24.052720721413,145.0
1,0,1,43437,TransLine,145.0,14.5,,24.052720721413,145.0
1,0,1,47924,TransLine,50.0,5.0,,27.2884764896242,50.0
1,0,1,43605,TransLine,1260.0,126.0,,7.02067713541712,1260.0
1,0,1,68811,Substation,775.0,7.75,"[43605, 43865, 43864]",7.21278117569168,775.0
1,0,1,68812,Substation,72.5,0.725,[43865],7.25584938878638,72.5
1,0,1,43440,TransLine,1260.0,126.0,,7.02067713541712,1260.0
1,0,1,43435,TransLine,145.0,14.5,,23.6169858881655,145.0
1,0,1,43425,TransLine,145.0,14.5,,18.7393306127558,145.0
1,0,1,43432,TransLine,145.0,14.5,,13.9327397189253,145.0
1,0,1,68814,Substation,72.5,0.725,[43864],7.29231819933108,72.5
1,0,1,68838,Substation,72.5,0.725,[43439],10.2785998793774,72.5
1,0,1,43421,TransLine,390.0,39.0,,18.7393306127558,390.0
1,0,1,68930,Substation,195.0,1.95,[43429],22.4775890621371,195.0
1,0,1,43416,TransLine,1260.0,126.0,,13.9327397189253,1260.0
1,0,1,68939,Substation,195.0,1.95,[43415],25.1162286454267,195.0
1,0,1,68940,Substation,462.5,4.625,"[43430, 43431, 43429]",22.9521079425484,462.5
1,0,1,43300,TransLine,1260.0,126.0,,7.02067713541712,1260.0
1,0,1,43448,TransLine,1260.0,126.0,,13.9327397189253,1260.0
1,0,1,43427,TransLine,145.0,14.5,,19.679436492422,145.0
1,0,1,68867,Substation,4192.5,41.925,"[43430, 43439, 43440, 43416, 43420, 43428, 43432, 43448, 43451, 43636]",13.9327397189253,4192.5
1,0,1,68876,Substation,267.5,2.6750000000000003,"[43431, 43432]",15.4634107943042,267.5
1,0,1,68899,Substation,72.5,0.725,[43918],19.233026015455,72.5
1,0,1,43426,TransLine,145.0,14.5,,23.1940231667803,145.0
1,0,1,43419,TransLine,390.0,39.0,,25.5303356123308,390.0
1,0,1,68931,Substation,340.0,3.4,"[43426, 43425, 43424]",23.1940231667803,340.0
1,0,1,43424,TransLine,390.0,39.0,,9.79651146863744,390.0
1,0,1,68942,Substation,585.0,5.8500000000000005,"[43415, 43418, 43419]",25.5303356123308,585.0
1,0,1,43451,TransLine,1260.0,126.0,,2.47305018978574,1260.0
1,0,1,43434,TransLine,145.0,14.5,,24.5103271562939,145.0
1,0,1,43423,TransLine,390.0,39.0,,19.9467652813196,390.0
1,0,1,68948,Substation,607.5,6.075,"[43437, 43441, 43443, 43852, 43426]",24.052720721413,607.5
1,0,1,43906,TransLine,145.0,14.5,,23.9352785812516,145.0
1,0,1,68944,Substation,267.5,2.6750000000000003,"[43441, 43906]",23.9352785812516,267.5
1,0,1,68949,Substation,72.5,0.725,[43852],24.1504898156787,72.5
1,0,1,68950,Substation,72.5,0.725,[43435],23.6169858881655,72.5
1,0,1,43443,TransLine,390.0,39.0,,24.052720721413,390.0
1,0,1,43429,TransLine,390.0,39.0,,22.4711483242813,390.0
1,0,1,43636,TransLine,1260.0,126.0,,9.21584886346551,1260.0
1,0,1,43420,TransLine,390.0,39.0,,13.9327397189253,390.0
1,0,1,43413,TransLine,1260.0,126.0,,2.46830874482795,1260.0
1,0,1,68929,Substation,462.5,4.625,"[43412, 43419, 43423]",26.7803228610968,462.5
1,0,1,43428,TransLine,1260.0,126.0,,13.9327397189253,1260.0
1,0,1,68784,Substation,1260.0,12.6,"[43451, 43413]",3.3234334087366,1260.0
1,0,1,68810,Substation,2520.0,25.2,"[43605, 43300, 43413, 43440]",7.02067713541712,2520.0
1,0,1,68901,Substation,462.5,4.625,"[43425, 43421, 43420]",18.7393306127558,462.5
1,0,1,68904,Substation,72.5,0.725,[43883],19.916290209769,72.5
1,0,1,68905,Substation,462.5,4.625,"[43423, 43422, 43883]",19.9467652813196,462.5
1,0,1,68906,Substation,462.5,4.625,"[43422, 43427, 43421]",19.679436492422,462.5
1,0,1,68914,Substation,72.5,0.725,[43427],21.1346591441782,72.5
1,0,1,68927,Substation,1357.5,13.575,"[47924, 43448, 43412, 43416]",27.2884764896242,1357.5
1,0,1,68957,Substation,145.0,1.45,"[43434, 43435]",24.5103271562939,145.0
1,0,1,68959,Substation,195.0,1.95,[43443],24.986311066329,195.0
1,0,1,68974,Substation,72.5,0.725,[43434],26.0554266178679,72.5
1,0,1,68990,Substation,72.5,0.725,[43437],28.3175670655733,72.5
2,0,2,43865,TransLine,145.0,14.5,,3.7207791993489,145.0
2,0,2,68900,Substation,72.5,0.725,[43918],17.0227695313284,72.5
2,0,2,43418,TransLine,390.0,39.0,,22.8892546242539,390.0
2,0,2,43441,TransLine,390.0,39.0,,20.9191459738855,390.0
2,0,2,68933,Substation,195.0,1.95,[43418],22.9857787994023,195.0
2,0,2,43918,TransLine,145.0,14.5,,16.7418748354156,145.0
2,0,2,68946,Substation,72.5,0.725,[43906],20.9562500837613,72.5
2,0,2,80843,PCALoadCen,999999.0,99999.9,,22.0250188293961,999999.0
2,0,2,80844,LoadCen,124.0,12.4,,21.1300398315441,124.0
2,0,2,80845,LoadCen,135.0,13.5,,25.261089861926,135.0
2,0,2,80846,LoadCen,272.0,27.2,,20.0680477696451,272.0
2,0,2,80847,LoadCen,76.0,7.6,,23.5333037969651,76.0
2,0,2,80848,LoadCen,17.0,1.7,,18.5764680999933,17.0
2,0,2,80849,LoadCen,113.0,11.3,,20.3627176558566,113.0
2,0,2,80850,LoadCen,30.0,3.0,,19.1882046430574,30.0
2,0,2,80852,LoadCen,50.0,5.0,,17.1969946162516,50.0
2,0,2,80853,LoadCen,67.0,6.7,,11.914708805179,67.0
2,0,2,80854,LoadCen,46.0,4.6,,22.9650565844895,46.0
2,0,2,43430,TransLine,145.0,14.5,,10.3873255724765,145.0
2,0,2,43415,TransLine,390.0,39.0,,22.5130390208562,390.0
2,0,2,43431,TransLine,390.0,39.0,,11.8896528958527,390.0
2,0,2,43864,TransLine,145.0,14.5,,3.7207791993489,145.0
2,0,2,43412,TransLine,145.0,14.5,,24.580086292068,145.0
2,0,2,43422,TransLine,390.0,39.0,,17.0482306903795,390.0
2,0,2,43439,TransLine,145.0,14.5,,6.7444211214699,145.0
2,0,2,43883,TransLine,145.0,14.5,,17.3974935922416,145.0
