,ghi_mean-stdev
mean,0.016200000420212746
std,0.007800284773111343
min,0.004000000189989805
25%,0.009749999735504389
50%,0.016499999910593033
75%,0.02275000000372529
max,0.026000000536441803
sum,0.16200000047683716
