,cf_mean-means
mean,0.17924067378044128
std,0.005111470352858305
min,0.17098602652549744
25%,0.17803790047764778
50%,0.1789701133966446
75%,0.18342779204249382
max,0.18531468510627747
sum,1.792406678199768
