,lcoe_fcr-stdev
mean,0.4780651032924652
std,0.300220251083374
min,0.027191162109375
25%,0.244354248046875
50%,0.49799537658691406
75%,0.7105951309204102
max,0.8596000671386719
sum,4.780651092529297
