,cf_mean-stdev
mean,0.0006753280758857727
std,0.0004421388148330152
min,3.394484519958496e-05
25%,0.0003342796117067337
50%,0.0006959214806556702
75%,0.0010101068764925003
max,0.001253664493560791
sum,0.006753280758857727
