latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,gid,reV_tech,capital_cost,cf_mean-2012,cf_mean-2013,cf_mean-means,cf_mean-stdev,fixed_charge_rate,fixed_operating_cost,ghi_mean-2012,ghi_mean-2013,ghi_mean-means,ghi_mean-stdev,lcoe_fcr-2012,lcoe_fcr-2013,lcoe_fcr-means,lcoe_fcr-stdev,system_capacity,variable_operating_cost
41.33,-71.82,15.263158,-5,United States,Rhode Island,Washington,None,2089,50,3,pvwattsv8,39767200.0,0.17741495,0.17859147,0.17800322,0.0005882606,0.096,260000.0,4.127,4.151,4.139,0.012,131.18547,130.32126,130.75336,0.43210602,20000.0,0.0
41.37,-71.82,25.36,-5,United States,Rhode Island,Washington,None,13716,70,4,pvwattsv8,39767200.0,0.1779612,0.17869979,0.1783305,0.00036929548,0.096,260000.0,4.138,4.155,4.146,0.009,130.7828,130.24226,130.51254,0.2702713,20000.0,0.0
41.41,-71.78,31.36,-5,United States,Rhode Island,Washington,None,1542,50,11,pvwattsv8,39767200.0,0.17878887,0.1794456,0.17911723,0.000328362,0.096,260000.0,4.139,4.157,4.148,0.009,130.17737,129.70096,129.93916,0.23820496,20000.0,0.0
41.89,-71.78,184.6,-5,United States,Rhode Island,Providence,None,386,50,13,pvwattsv8,39767200.0,0.16614555,0.16851458,0.16733006,0.0011845157,0.096,260000.0,4.07,4.107,4.088,0.018,140.08359,138.11424,139.0989,0.98467255,20000.0,0.0
41.85,-71.78,210.04,-5,United States,Rhode Island,Providence,None,263,50,14,pvwattsv8,39767200.0,0.16651271,0.16877633,0.16764453,0.0011318102,0.096,260000.0,4.077,4.114,4.096,0.018,139.7747,137.90005,138.83737,0.9373245,20000.0,0.0
41.37,-71.78,17.6,-5,United States,Rhode Island,Washington,None,1039,70,15,pvwattsv8,39767200.0,0.18039154,0.18102565,0.18070859,0.00031705946,0.096,260000.0,4.18,4.197,4.188,0.009,129.02083,128.56888,128.79486,0.22597504,20000.0,0.0
41.69,-71.78,127.8,-5,United States,Rhode Island,Kent,None,445,50,17,pvwattsv8,39767200.0,0.17750369,0.18014233,0.17882301,0.001319319,0.096,260000.0,4.105,4.151,4.128,0.023,131.11989,129.19931,130.1596,0.960289,20000.0,0.0
41.97,-71.78,194.64,-5,United States,Rhode Island,Providence,None,286,50,18,pvwattsv8,39767200.0,0.16777056,0.16866958,0.16822007,0.00044950843,0.096,260000.0,4.097,4.104,4.1,0.003,138.72675,137.98732,138.35703,0.36971283,20000.0,0.0
41.93,-71.78,192.6,-5,United States,Rhode Island,Providence,None,231,50,19,pvwattsv8,39767200.0,0.16769105,0.16936587,0.16852847,0.000837408,0.096,260000.0,4.1,4.126,4.113,0.013,138.79253,137.42004,138.1063,0.68624115,20000.0,0.0
41.57,-71.78,124.6,-5,United States,Rhode Island,Washington,None,101,50,20,pvwattsv8,39767200.0,0.1775109,0.18012547,0.1788182,0.0013072863,0.096,260000.0,4.112,4.157,4.134,0.023,131.11456,129.2114,130.16298,0.95158386,20000.0,0.0
41.61,-71.78,130.04,-5,United States,Rhode Island,Kent,None,307,50,25,pvwattsv8,39767200.0,0.17733125,0.17993197,0.1786316,0.0013003573,0.096,260000.0,4.1,4.149,4.125,0.025,131.2474,129.35036,130.29889,0.9485245,20000.0,0.0
41.65,-71.78,123.76,-5,United States,Rhode Island,Kent,None,188,50,26,pvwattsv8,39767200.0,0.17726417,0.179918,0.17859109,0.0013269186,0.096,260000.0,4.097,4.148,4.122,0.025,131.29706,129.3604,130.32874,0.9683304,20000.0,0.0
41.53,-71.78,116.9,-5,United States,Rhode Island,Washington,None,134,50,27,pvwattsv8,39767200.0,0.17772076,0.18001151,0.17886613,0.0011453778,0.096,260000.0,4.112,4.156,4.134,0.022,130.95975,129.29321,130.12648,0.8332672,20000.0,0.0
41.33,-71.78,16.470589,-5,United States,Rhode Island,Washington,None,1851,210,28,pvwattsv8,39767200.0,0.17998444,0.1809999,0.18049216,0.0005077347,0.096,260000.0,4.168,4.19,4.179,0.011,129.31265,128.58717,128.94992,0.36273956,20000.0,0.0
41.81,-71.78,208.76,-5,United States,Rhode Island,Providence,None,294,50,29,pvwattsv8,39767200.0,0.16784666,0.16984276,0.16884471,0.00099805,0.096,260000.0,4.106,4.146,4.126,0.02,138.66385,137.03418,137.84901,0.8148346,20000.0,0.0
41.45,-71.78,62.72,-5,United States,Rhode Island,Washington,None,612,50,30,pvwattsv8,39767200.0,0.17843053,0.18050814,0.17946933,0.0010388047,0.096,260000.0,4.131,4.173,4.152,0.021,130.4388,128.93748,129.68814,0.7506561,20000.0,0.0
41.49,-71.78,105.6,-5,United States,Rhode Island,Washington,None,194,50,31,pvwattsv8,39767200.0,0.17857707,0.18062997,0.17960352,0.0010264516,0.096,260000.0,4.131,4.175,4.153,0.022,130.33177,128.85051,129.59114,0.7406311,20000.0,0.0
41.77,-71.78,181.76,-5,United States,Rhode Island,Providence,None,419,50,32,pvwattsv8,39767200.0,0.16780691,0.17015155,0.16897923,0.001172319,0.096,260000.0,4.106,4.15,4.128,0.022,138.6967,136.7855,137.7411,0.9555969,20000.0,0.0
41.73,-71.78,163.2,-5,United States,Rhode Island,Providence,None,229,50,33,pvwattsv8,39767200.0,0.17703433,0.17956239,0.17829835,0.0012640283,0.096,260000.0,4.102,4.144,4.123,0.021,131.46753,129.6166,130.54205,0.92546844,20000.0,0.0
41.65,-71.74,142.76,-5,United States,Rhode Island,Kent,None,228,50,36,pvwattsv8,39767200.0,0.17712882,0.18007037,0.1785996,0.0014707744,0.096,260000.0,4.092,4.151,4.122,0.03,131.3974,129.25095,130.32417,1.0732269,20000.0,0.0
41.93,-71.74,189.65,-5,United States,Rhode Island,Providence,None,405,50,38,pvwattsv8,39767200.0,0.16850655,0.17070013,0.16960335,0.0010967925,0.096,260000.0,4.117,4.148,4.132,0.015,138.12083,136.3459,137.23337,0.88746643,20000.0,0.0
41.53,-71.74,76.65,-5,United States,Rhode Island,Washington,None,553,50,39,pvwattsv8,39767200.0,0.17747147,0.17969656,0.17858401,0.001112543,0.096,260000.0,4.107,4.152,4.13,0.023,131.14369,129.5198,130.33176,0.81194305,20000.0,0.0
41.97,-71.74,167.8,-5,United States,Rhode Island,Providence,None,500,50,40,pvwattsv8,39767200.0,0.16813007,0.16897188,0.16855097,0.00042090565,0.096,260000.0,4.114,4.115,4.114,0.0,138.43011,137.74046,138.0853,0.34482574,20000.0,0.0
41.49,-71.74,68.8,-5,United States,Rhode Island,Washington,None,1291,50,43,pvwattsv8,39767200.0,0.17844273,0.18026222,0.17935248,0.0009097457,0.096,260000.0,4.128,4.168,4.148,0.02,130.42989,129.11337,129.77164,0.65825653,20000.0,0.0
41.61,-71.74,101.0,-5,United States,Rhode Island,Kent,None,66,50,44,pvwattsv8,39767200.0,0.17681198,0.17999256,0.17840227,0.0015902892,0.096,260000.0,4.09,4.152,4.121,0.031,131.63286,129.30682,130.46985,1.1630173,20000.0,0.0
41.57,-71.74,78.84,-5,United States,Rhode Island,Washington,None,76,50,45,pvwattsv8,39767200.0,0.17712075,0.1802011,0.17866093,0.0015401766,0.096,260000.0,4.105,4.162,4.134,0.029,131.40338,129.15717,130.28027,1.1231079,20000.0,0.0
41.45,-71.74,57.4,-5,United States,Rhode Island,Washington,None,634,50,46,pvwattsv8,39767200.0,0.17845467,0.18048847,0.17947157,0.0010169,0.096,260000.0,4.13,4.175,4.152,0.023,130.42116,128.95154,129.68634,0.7348099,20000.0,0.0
41.81,-71.74,175.96,-5,United States,Rhode Island,Providence,None,786,50,48,pvwattsv8,39767200.0,0.16856767,0.17055866,0.16956317,0.0009954944,0.096,260000.0,4.111,4.162,4.137,0.026,138.07074,136.459,137.26486,0.80587006,20000.0,0.0
41.77,-71.74,180.0,-5,United States,Rhode Island,Providence,None,513,50,49,pvwattsv8,39767200.0,0.16851842,0.1702113,0.16936487,0.0008464381,0.096,260000.0,4.113,4.157,4.135,0.022,138.1111,136.73749,137.42429,0.6868057,20000.0,0.0
41.89,-71.74,198.72,-5,United States,Rhode Island,Providence,None,244,50,52,pvwattsv8,39767200.0,0.16840342,0.17028616,0.16934478,0.0009413734,0.096,260000.0,4.111,4.146,4.128,0.017,138.20543,136.67737,137.4414,0.76403046,20000.0,0.0
41.85,-71.74,189.36,-5,United States,Rhode Island,Providence,None,577,50,53,pvwattsv8,39767200.0,0.16874835,0.17029414,0.16952124,0.0007728934,0.096,260000.0,4.119,4.149,4.134,0.015,137.92291,136.67097,137.29694,0.62596893,20000.0,0.0
41.37,-71.74,44.52,-5,United States,Rhode Island,Washington,None,802,50,54,pvwattsv8,39767200.0,0.18091877,0.18114647,0.18103263,0.00011385232,0.096,260000.0,4.189,4.206,4.198,0.008,128.64484,128.48312,128.56398,0.08085632,20000.0,0.0
41.73,-71.74,156.9,-5,United States,Rhode Island,Providence,None,321,50,55,pvwattsv8,39767200.0,0.17761587,0.17956552,0.17859069,0.0009748265,0.096,260000.0,4.107,4.148,4.127,0.02,131.0371,129.61433,130.32571,0.71138,20000.0,0.0
41.69,-71.74,149.48,-5,United States,Rhode Island,Kent,None,415,50,59,pvwattsv8,39767200.0,0.17757916,0.18016645,0.17887281,0.0012936443,0.096,260000.0,4.105,4.149,4.127,0.022,131.06416,129.18202,130.1231,0.94107056,20000.0,0.0
41.41,-71.74,31.72,-5,United States,Rhode Island,Washington,None,1480,50,60,pvwattsv8,39767200.0,0.1789682,0.18020713,0.17958766,0.0006194636,0.096,260000.0,4.14,4.178,4.159,0.019,130.04694,129.15286,129.5999,0.44703674,20000.0,0.0
41.45,-71.7,31.75,-5,United States,Rhode Island,Washington,None,1583,50,63,pvwattsv8,39767200.0,0.1785315,0.1805427,0.1795371,0.0010056049,0.096,260000.0,4.129,4.174,4.151,0.022,130.36504,128.9128,129.63892,0.72612,20000.0,0.0
41.41,-71.7,39.9,-5,United States,Rhode Island,Washington,None,237,50,64,pvwattsv8,39767200.0,0.17876764,0.17981248,0.17929006,0.0005224198,0.096,260000.0,4.134,4.167,4.15,0.016,130.19284,129.43633,129.81458,0.37825775,20000.0,0.0
41.37,-71.7,25.95,-5,United States,Rhode Island,Washington,None,483,50,65,pvwattsv8,39767200.0,0.18005437,0.18008247,0.18006842,1.4051795e-05,0.096,260000.0,4.17,4.182,4.176,0.006,129.26244,129.24225,129.25235,0.010093692,20000.0,0.0
41.73,-71.7,185.0625,-5,United States,Rhode Island,Providence,None,186,50,67,pvwattsv8,39767200.0,0.17861705,0.1800581,0.17933758,0.00072053075,0.096,260000.0,4.124,4.155,4.14,0.016,130.3026,129.25975,129.78117,0.52142334,20000.0,0.0
41.61,-71.7,111.9,-5,United States,Rhode Island,Kent,None,94,50,68,pvwattsv8,39767200.0,0.17733502,0.1793105,0.17832276,0.0009877384,0.096,260000.0,4.1,4.138,4.119,0.019,131.2446,129.79866,130.52164,0.72296906,20000.0,0.0
41.97,-71.7,135.3,-5,United States,Rhode Island,Providence,None,3314,50,69,pvwattsv8,39767200.0,0.16784391,0.16954039,0.16869214,0.00084824115,0.096,260000.0,4.101,4.12,4.11,0.01,138.66612,137.27858,137.97235,0.69377136,20000.0,0.0
41.93,-71.7,150.0625,-5,United States,Rhode Island,Providence,None,1012,50,71,pvwattsv8,39767200.0,0.16855843,0.1706658,0.16961211,0.0010536835,0.096,260000.0,4.118,4.148,4.133,0.015,138.07831,136.37334,137.22583,0.85248566,20000.0,0.0
41.57,-71.7,84.75,-5,United States,Rhode Island,Washington,None,126,50,73,pvwattsv8,39767200.0,0.17770098,0.1797349,0.17871794,0.0010169595,0.096,260000.0,4.114,4.152,4.133,0.019,130.97432,129.49219,130.23325,0.741066,20000.0,0.0
41.53,-71.7,48.5,-5,United States,Rhode Island,Washington,None,841,50,74,pvwattsv8,39767200.0,0.17765565,0.17878711,0.17822137,0.00056573004,0.096,260000.0,4.112,4.135,4.124,0.012,131.00774,130.17865,130.5932,0.41454315,20000.0,0.0
41.85,-71.7,157.55,-5,United States,Rhode Island,Providence,None,1169,50,77,pvwattsv8,39767200.0,0.16917172,0.17011146,0.16964158,0.00046987087,0.096,260000.0,4.125,4.145,4.135,0.01,137.57776,136.81773,137.19775,0.3800125,20000.0,0.0
41.89,-71.7,160.9,-5,United States,Rhode Island,Providence,None,676,50,78,pvwattsv8,39767200.0,0.1688157,0.17038079,0.16959825,0.00078254193,0.096,260000.0,4.116,4.148,4.132,0.016,137.86789,136.60146,137.23468,0.63321686,20000.0,0.0
41.49,-71.7,39.1,-5,United States,Rhode Island,Washington,None,1217,50,81,pvwattsv8,39767200.0,0.17839788,0.18051723,0.17945755,0.0010596737,0.096,260000.0,4.127,4.173,4.15,0.023,130.46268,128.93098,129.69684,0.76584625,20000.0,0.0
41.77,-71.7,176.05,-5,United States,Rhode Island,Providence,None,237,50,82,pvwattsv8,39767200.0,0.16877262,0.17015009,0.16946135,0.00068873167,0.096,260000.0,4.117,4.149,4.133,0.016,137.90308,136.78668,137.34488,0.558197,20000.0,0.0
41.81,-71.7,139.1,-5,United States,Rhode Island,Providence,None,312,50,83,pvwattsv8,39767200.0,0.16900313,0.17076096,0.16988204,0.0008789152,0.096,260000.0,4.12,4.165,4.142,0.023,137.715,136.29735,137.00616,0.7088241,20000.0,0.0
41.69,-71.7,164.05,-5,United States,Rhode Island,Kent,None,905,50,87,pvwattsv8,39767200.0,0.1780748,0.18019208,0.17913345,0.0010586381,0.096,260000.0,4.115,4.157,4.136,0.021,130.69937,129.16364,129.9315,0.76786804,20000.0,0.0
41.65,-71.7,165.7,-5,United States,Rhode Island,Kent,None,953,50,90,pvwattsv8,39767200.0,0.17776954,0.1798054,0.17878747,0.0010179281,0.096,260000.0,4.108,4.146,4.127,0.019,130.92381,129.4414,130.18262,0.7412033,20000.0,0.0
41.49,-71.66,47.24,-5,United States,Rhode Island,Washington,None,1205,50,92,pvwattsv8,39767200.0,0.17919476,0.18043299,0.17981388,0.00061911345,0.096,260000.0,4.14,4.174,4.157,0.017,129.8825,128.99118,129.43684,0.44566345,20000.0,0.0
41.85,-71.66,176.0,-5,United States,Rhode Island,Providence,None,656,50,94,pvwattsv8,39767200.0,0.16927981,0.17044598,0.1698629,0.00058308244,0.096,260000.0,4.127,4.15,4.138,0.012,137.4899,136.54921,137.01956,0.47034454,20000.0,0.0
41.89,-71.66,153.72,-5,United States,Rhode Island,Providence,None,1649,50,96,pvwattsv8,39767200.0,0.16880412,0.17044304,0.16962358,0.00081945956,0.096,260000.0,4.116,4.148,4.132,0.016,137.87735,136.55157,137.21446,0.6628876,20000.0,0.0
41.45,-71.66,35.44,-5,United States,Rhode Island,Washington,None,1057,50,97,pvwattsv8,39767200.0,0.17897224,0.18000154,0.1794869,0.00051464885,0.096,260000.0,4.133,4.163,4.148,0.015,130.04399,129.30037,129.67218,0.3718109,20000.0,0.0
41.61,-71.66,140.2,-5,United States,Rhode Island,Kent,None,1242,50,98,pvwattsv8,39767200.0,0.17734692,0.18018886,0.17876789,0.0014209747,0.096,260000.0,4.104,4.159,4.132,0.027,131.23581,129.16594,130.20087,1.034935,20000.0,0.0
41.41,-71.66,35.16,-5,United States,Rhode Island,Washington,None,427,50,99,pvwattsv8,39767200.0,0.17943491,0.18034978,0.17989235,0.00045743585,0.096,260000.0,4.149,4.17,4.16,0.01,129.70868,129.05069,129.37968,0.32899475,20000.0,0.0
