,cf_mean-stdev
mean,0.0008848237339407206
std,0.00035833081346936524
min,1.405179500579834e-05
25%,0.0005882605910301208
50%,0.0009748265147209167
75%,0.0011125430464744568
max,0.0015902891755104065
sum,0.05043495446443558
