latitude,longitude,elevation,timezone,country,state,county,gid,config
38.57,-109.06,2494,-7,United States,Colorado,Mesa,389874,default
38.53,-109.06,2189,-7,United States,Colorado,Mesa,389875,default
38.49,-109.06,2300,-7,United States,Colorado,Montrose,389876,default
38.45,-109.06,2349,-7,United States,Colorado,Montrose,389877,default
38.41,-109.06,2330,-7,United States,Colorado,Montrose,389878,default
38.37,-109.06,2238,-7,United States,Colorado,Montrose,389879,default
38.33,-109.06,2050,-7,United States,Colorado,Montrose,389880,default
38.29,-109.06,2238,-7,United States,Colorado,Montrose,389881,default
40.97,-109.02,2597,-7,United States,Colorado,Moffat,390695,default
40.93,-109.02,2456,-7,United States,Colorado,Moffat,390696,default
40.89,-109.02,2035,-7,United States,Colorado,Moffat,390697,default
40.85,-109.02,1723,-7,United States,Colorado,Moffat,390698,default
40.81,-109.02,1747,-7,United States,Colorado,Moffat,390699,default
40.77,-109.02,2057,-7,United States,Colorado,Moffat,390700,default
40.73,-109.02,2282,-7,United States,Colorado,Moffat,390701,default
40.69,-109.02,2108,-7,United States,Colorado,Moffat,390702,default
40.65,-109.02,2173,-7,United States,Colorado,Moffat,390703,default
40.61,-109.02,2363,-7,United States,Colorado,Moffat,390704,default
40.57,-109.02,2347,-7,United States,Colorado,Moffat,390705,default
40.53,-109.02,1901,-7,United States,Colorado,Moffat,390706,default
40.49,-109.02,1792,-7,United States,Colorado,Moffat,390707,default
40.45,-109.02,2090,-7,United States,Colorado,Moffat,390708,default
40.41,-109.02,2390,-7,United States,Colorado,Moffat,390709,default
40.37,-109.02,2221,-7,United States,Colorado,Moffat,390710,default
40.33,-109.02,1909,-7,United States,Colorado,Moffat,390711,default
40.29,-109.02,1867,-7,United States,Colorado,Moffat,390712,default
40.25,-109.02,1820,-7,United States,Colorado,Moffat,390713,default
40.21,-109.02,1781,-7,United States,Colorado,Rio Blanco,390714,default
40.17,-109.02,1750,-7,United States,Colorado,Rio Blanco,390715,default
40.13,-109.02,1713,-7,United States,Colorado,Rio Blanco,390716,default
40.09,-109.02,1665,-7,United States,Colorado,Rio Blanco,390717,default
40.05,-109.02,1622,-7,United States,Colorado,Rio Blanco,390718,default
40.01,-109.02,1772,-7,United States,Colorado,Rio Blanco,390719,default
39.97,-109.02,1872,-7,United States,Colorado,Rio Blanco,390720,default
39.93,-109.02,1994,-7,United States,Colorado,Rio Blanco,390721,default
39.89,-109.02,2067,-7,United States,Colorado,Rio Blanco,390722,default
39.85,-109.02,2036,-7,United States,Colorado,Rio Blanco,390723,default
39.81,-109.02,1941,-7,United States,Colorado,Rio Blanco,390724,default
39.77,-109.02,1830,-7,United States,Colorado,Rio Blanco,390725,default
39.73,-109.02,1917,-7,United States,Colorado,Rio Blanco,390726,default
39.69,-109.02,2042,-7,United States,Colorado,Rio Blanco,390727,default
39.65,-109.02,2257,-7,United States,Colorado,Garfield,390728,default
39.61,-109.02,2470,-7,United States,Colorado,Garfield,390729,default
39.57,-109.02,2566,-7,United States,Colorado,Garfield,390730,default
39.53,-109.02,2474,-7,United States,Colorado,Garfield,390731,default
39.49,-109.02,2220,-7,United States,Colorado,Garfield,390732,default
39.45,-109.02,2083,-7,United States,Colorado,Garfield,390733,default
39.41,-109.02,1704,-7,United States,Colorado,Garfield,390734,default
39.37,-109.02,1581,-7,United States,Colorado,Garfield,390735,default
39.33,-109.02,1541,-7,United States,Colorado,Mesa,390736,default
39.29,-109.02,1520,-7,United States,Colorado,Mesa,390737,default
39.25,-109.02,1494,-7,United States,Colorado,Mesa,390738,default
39.21,-109.02,1504,-7,United States,Colorado,Mesa,390739,default
39.17,-109.02,1451,-7,United States,Colorado,Mesa,390740,default
39.13,-109.02,1435,-7,United States,Colorado,Mesa,390741,default
39.09,-109.02,1612,-7,United States,Colorado,Mesa,390742,default
39.05,-109.02,1699,-7,United States,Colorado,Mesa,390743,default
39.01,-109.02,1828,-7,United States,Colorado,Mesa,390744,default
38.97,-109.02,2014,-7,United States,Colorado,Mesa,390745,default
38.93,-109.02,2210,-7,United States,Colorado,Mesa,390746,default
38.89,-109.02,2359,-7,United States,Colorado,Mesa,390747,default
38.85,-109.02,2460,-7,United States,Colorado,Mesa,390748,default
38.81,-109.02,2132,-7,United States,Colorado,Mesa,390749,default
38.77,-109.02,1578,-7,United States,Colorado,Mesa,390750,default
38.73,-109.02,1447,-7,United States,Colorado,Mesa,390751,default
38.69,-109.02,1655,-7,United States,Colorado,Mesa,390752,default
38.65,-109.02,1884,-7,United States,Colorado,Mesa,390753,default
38.61,-109.02,2201,-7,United States,Colorado,Mesa,390754,default
38.57,-109.02,2381,-7,United States,Colorado,Mesa,390755,default
38.53,-109.02,1937,-7,United States,Colorado,Mesa,390756,default
38.49,-109.02,1829,-7,United States,Colorado,Montrose,390757,default
38.45,-109.02,2340,-7,United States,Colorado,Montrose,390758,default
38.41,-109.02,2056,-7,United States,Colorado,Montrose,390759,default
38.37,-109.02,2034,-7,United States,Colorado,Montrose,390760,default
38.33,-109.02,1944,-7,United States,Colorado,Montrose,390761,default
38.29,-109.02,2114,-7,United States,Colorado,Montrose,390762,default
38.25,-109.02,1903,-7,United States,Colorado,Montrose,390763,default
38.21,-109.02,1763,-7,United States,Colorado,Montrose,390764,default
38.17,-109.02,2014,-7,United States,Colorado,Montrose,390765,default
38.13,-109.02,2072,-7,United States,Colorado,San Miguel,390766,default
38.09,-109.02,1927,-7,United States,Colorado,San Miguel,390767,default
38.05,-109.02,2079,-7,United States,Colorado,San Miguel,390768,default
38.01,-109.02,2262,-7,United States,Colorado,San Miguel,390769,default
37.97,-109.02,2149,-7,United States,Colorado,San Miguel,390770,default
37.93,-109.02,2189,-7,United States,Colorado,San Miguel,390771,default
37.89,-109.02,2125,-7,United States,Colorado,San Miguel,390772,default
37.85,-109.02,2065,-7,United States,Colorado,Dolores,390773,default
37.81,-109.02,2027,-7,United States,Colorado,Dolores,390774,default
37.77,-109.02,2033,-7,United States,Colorado,Dolores,390775,default
37.73,-109.02,2007,-7,United States,Colorado,Dolores,390776,default
37.69,-109.02,1999,-7,United States,Colorado,Dolores,390777,default
37.65,-109.02,2016,-7,United States,Colorado,Dolores,390778,default
37.61,-109.02,1935,-7,United States,Colorado,Dolores,390779,default
37.57,-109.02,1946,-7,United States,Colorado,Dolores,390780,default
37.53,-109.02,1889,-7,United States,Colorado,Dolores,390781,default
37.49,-109.02,1708,-7,United States,Colorado,Montezuma,390782,default
37.45,-109.02,1752,-7,United States,Colorado,Montezuma,390783,default
37.41,-109.02,1674,-7,United States,Colorado,Montezuma,390784,default
37.37,-109.02,1605,-7,United States,Colorado,Montezuma,390785,default
37.33,-109.02,1539,-7,United States,Colorado,Montezuma,390786,default
37.29,-109.02,1560,-7,United States,Colorado,Montezuma,390787,default
37.25,-109.02,1563,-7,United States,Colorado,Montezuma,390788,default
37.21,-109.02,1558,-7,United States,Colorado,Montezuma,390789,default
37.17,-109.02,1504,-7,United States,Colorado,Montezuma,390790,default
37.13,-109.02,1500,-7,United States,Colorado,Montezuma,390791,default
37.09,-109.02,1536,-7,United States,Colorado,Montezuma,390792,default
37.05,-109.02,1495,-7,United States,Colorado,Montezuma,390793,default
37.01,-109.02,1468,-7,United States,Colorado,Montezuma,390794,default
40.97,-108.98,2501,-7,United States,Colorado,Moffat,391576,default
40.93,-108.98,2494,-7,United States,Colorado,Moffat,391577,default
40.89,-108.98,2115,-7,United States,Colorado,Moffat,391578,default
40.85,-108.98,1732,-7,United States,Colorado,Moffat,391579,default
40.81,-108.98,1661,-7,United States,Colorado,Moffat,391580,default
40.77,-108.98,1868,-7,United States,Colorado,Moffat,391581,default
40.73,-108.98,2185,-7,United States,Colorado,Moffat,391582,default
40.69,-108.98,2227,-7,United States,Colorado,Moffat,391583,default
40.65,-108.98,2078,-7,United States,Colorado,Moffat,391584,default
40.61,-108.98,2045,-7,United States,Colorado,Moffat,391585,default
40.57,-108.98,1973,-7,United States,Colorado,Moffat,391586,default
40.53,-108.98,1708,-7,United States,Colorado,Moffat,391587,default
40.49,-108.98,1710,-7,United States,Colorado,Moffat,391588,default
40.45,-108.98,2041,-7,United States,Colorado,Moffat,391589,default
40.41,-108.98,2370,-7,United States,Colorado,Moffat,391590,default
40.37,-108.98,2268,-7,United States,Colorado,Moffat,391591,default
40.33,-108.98,2080,-7,United States,Colorado,Moffat,391592,default
40.29,-108.98,1999,-7,United States,Colorado,Moffat,391593,default
40.25,-108.98,1857,-7,United States,Colorado,Moffat,391594,default
40.21,-108.98,1783,-7,United States,Colorado,Rio Blanco,391595,default
40.17,-108.98,1801,-7,United States,Colorado,Rio Blanco,391596,default
40.13,-108.98,1761,-7,United States,Colorado,Rio Blanco,391597,default
40.09,-108.98,1755,-7,United States,Colorado,Rio Blanco,391598,default
40.05,-108.98,1692,-7,United States,Colorado,Rio Blanco,391599,default
40.01,-108.98,1768,-7,United States,Colorado,Rio Blanco,391600,default
39.97,-108.98,1745,-7,United States,Colorado,Rio Blanco,391601,default
39.93,-108.98,1858,-7,United States,Colorado,Rio Blanco,391602,default
39.89,-108.98,2097,-7,United States,Colorado,Rio Blanco,391603,default
39.85,-108.98,1969,-7,United States,Colorado,Rio Blanco,391604,default
39.81,-108.98,1916,-7,United States,Colorado,Rio Blanco,391605,default
39.77,-108.98,1869,-7,United States,Colorado,Rio Blanco,391606,default
39.73,-108.98,2002,-7,United States,Colorado,Rio Blanco,391607,default
